#Label,X/Easting,Y/Northing,Z/Altitude,X_est,Y_est,Z_est
TIN - KhorramAbad - 14020519 -000207.JPG,240914.3606,3706947.601,1391.32,240916.6826,3706946.969,1368.694246
TIN - KhorramAbad - 14020519 -000208.JPG,240928.0555,3706947.187,1391.32,240933.4878,3706946.496,1368.672838
TIN - KhorramAbad - 14020519 -000209.JPG,240948.6055,3706946.562,1391.42,240950.5377,3706945.992,1368.574446
TIN - KhorramAbad - 14020519 -000210.JPG,240962.375,3706946.136,1391.42,240967.6707,3706945.525,1368.432242
TIN - KhorramAbad - 14020519 -000211.JPG,240983.0243,3706945.65,1391.42,240984.9868,3706945.157,1368.357449
TIN - KhorramAbad - 14020519 -000212.JPG,240996.7523,3706945.315,1391.32,241001.9903,3706944.737,1368.289923
TIN - KhorramAbad - 14020519 -000213.JPG,241017.3307,3706944.787,1391.32,241018.8897,3706944.328,1368.276538
TIN - KhorramAbad - 14020519 -000214.JPG,241031.0334,3706944.475,1391.32,241035.9779,3706943.914,1368.20198
TIN - KhorramAbad - 14020519 -000215.JPG,241051.6122,3706944.058,1391.42,241053.2375,3706943.632,1368.149415
TIN - KhorramAbad - 14020519 -000216.JPG,241051.6122,3706944.058,1391.42,241058.6168,3706943.898,1368.114192
TIN - KhorramAbad - 14020519 -000217.JPG,241263.1491,3706970.606,1391.42,241260.2909,3706970.401,1367.657872
TIN - KhorramAbad - 14020519 -000218.JPG,241251.3845,3706971.017,1391.42,241246.6813,3706970.94,1367.646805
TIN - KhorramAbad - 14020519 -000219.JPG,241229.8268,3706971.833,1391.32,241228.8908,3706971.569,1367.69529
TIN - KhorramAbad - 14020519 -000220.JPG,241216.0155,3706972.24,1391.32,241211.9091,3706972.088,1367.71195
TIN - KhorramAbad - 14020519 -000221.JPG,241195.7311,3706972.837,1391.42,241195.1138,3706972.554,1367.660823
TIN - KhorramAbad - 14020519 -000222.JPG,241182.0792,3706973.216,1391.42,241178.2228,3706973.043,1367.563158
TIN - KhorramAbad - 14020519 -000223.JPG,241147.8036,3706974.16,1391.42,241144.1283,3706973.979,1367.266497
TIN - KhorramAbad - 14020519 -000224.JPG,241127.3328,3706974.651,1391.42,241126.8675,3706974.41,1367.140825
TIN - KhorramAbad - 14020519 -000225.JPG,241113.4919,3706975.013,1391.42,241110.047,3706974.877,1367.057069
TIN - KhorramAbad - 14020519 -000226.JPG,241092.969,3706975.585,1391.32,241093.0017,3706975.385,1366.999839
TIN - KhorramAbad - 14020519 -000227.JPG,241079.1541,3706975.953,1391.32,241075.9183,3706975.804,1366.984276
TIN - KhorramAbad - 14020519 -000228.JPG,241058.6128,3706976.415,1391.32,241058.6717,3706976.213,1367.045179
TIN - KhorramAbad - 14020519 -000229.JPG,241044.8738,3706976.722,1391.32,241041.8633,3706976.598,1367.087994
TIN - KhorramAbad - 14020519 -000230.JPG,241024.2458,3706977.325,1391.32,241024.5739,3706977.14,1367.135768
TIN - KhorramAbad - 14020519 -000231.JPG,241010.5477,3706977.714,1391.32,241007.81,3706977.622,1367.182501
TIN - KhorramAbad - 14020519 -000232.JPG,240990.0418,3706978.342,1391.42,240990.5734,3706978.136,1367.203212
